Mash Kyrielight, C, D, C, A, B, B+++, 1.png
Mash Kyrielight, C, D, C, A, B, B+++, 1.1.png
Mash Kyrielight, C, D, C, A, B, B+++, 1.2.png
Altria Pendragon, B, B, A+, B, A, A++, 2.png
Altria Pendragon (Alter), A, D, C, A, A++, A++, 3.png
Altria Pendragon (Alter), A, D, C, A, A++, A++, 3.1.png
Altria Pendragon (Lily), C, B, A+, C, A, B, 4.png
Nero Claudius, D, A, A, D, B, B, 5.png
Nero Claudius, D, A, A, D, B, B, 5.1.png
Nero Claudius, D, A, A, D, B, B, 5.2.png
Siegfried, B+, B, E, A, C, A, 6.png
Siegfried, B+, B, E, A, C, A, 6.1.png
Gaius Julius Caesar, A, B, C, B, D, B+, 7.png
Altera, B, A, A, A, B, A+, 8.png
Altera, B, A, A, A, B, A+, 8.1.png
Gilles de Rais, B, C, B, C, D, B, 9.png
Chevalier d'Eon, A, B, A, B, C, C, 10.png
EMIYA, D, C, E, C, B, ?, 11.png
EMIYA, D, C, E, C, B, ?, 11.1.png
Gilgamesh, B, C, A, C, B, EX, 12.png
Robin Hood, C, B, B, C, B, D, 13.png
Robin Hood, C, B, B, C, B, D, 13.1.png
Atalante, D, A, C, E, B, C, 14.png
Euryale, E, C, EX, E, EX, C, 15.png
Euryale, E, C, EX, E, EX, C, 15.1.png
Arash, B, B+, D, A, E, B++, 16.png
Cu Chulainn, B, A, E, C, C, B, 17.png
Elisabeth Bathory, C, E, B, D, A, D, 18.png
Musashibou Benkei, A, C, C, B+, D, C, 19.png
Cu Chulainn (Prototype), A, A+, D, C, B, B, 20.png
Leonidas, B, D, C, A, C, B, 21.png
Romulus, B, A, B, A, C, A++, 22.png
Medusa, B, A, E, D, B, A+, 23.png
Georgios, D, C++, A+, A+, D, C, 24.png
Edward Teach, B+, E, C, A, D, C, 25.png
Edward Teach, B+, E, C, A, D, C, 25.1.png
Boudica, C, C, D, B+, D, B+, 26.png
Ushiwakamaru, D, A+, A, C, B, A+, 27.png
Ushiwakamaru, D, A+, A, C, B, A+, 27.1.png
Alexander, C, B, A+, B, C, B+, 28.png
Marie Antoinette, D, B, B+, D, B, A+, 29.png
Saint Martha, D, B, A+, C, A, A+, 30.png
Medea, E, C, B, D, A+, C, 31.png
Gilles de Rais (Caster), D, D, E, E, C, A+, 32.png
Hans Christian Andersen, E, E, E, E, EX, C, 33.png
William Shakespeare, E, D, B, E, C++, C+, 34.png
Mephistopheles, D, B, B, C, A, B, 35.png
Wolfgang Amadeus Mozart, D, B, D, E, B+, B, 36.png
Zhuge Liang (El-Melloi II), E, D, B+, E, A+, A, 37.png
Cu Chulainn (Caster), E, C, D, D, B, B, 38.png
Sasaki Kojirou, C, A+, A, E, E, ?, 39.png
Hassan of the Cursed Arm, B, A, E, C, C, C, 40.png
Stheno, E, B, EX, E, EX, B, 41.png
Jing Ke, D, A, D, E, E, B, 42.png
Charles-Henri Sanson, D, C, A, D, D, B, 43.png
Phantom of the Opera, B, A, D, C, D, B, 44.png
Mata Hari, E, E, D, E, E, A+, 45.png
Carmilla, D, A, D, D, C, B, 46.png
Heracles, A+, A, A, A, B, A, 47.png
Lancelot, A, A+, B, A, C, A, 48.png
Lu Bu Fengxian, A+, B+, C+, A+, C+, A, 49.png
Spartacus, A+, D, D, EX, E, C, 50.png
Sakata Kintoki, A+, B, C, B, C, C, 51.png
Sakata Kintoki, A+, B, C, B, C, C, 51.1.png
Vlad III, A, C, E, A, B, A, 52.png
Asterios, A++, C, E, A++, D, A, 53.png
Caligula, A+, B+, D+, B+, D+, C, 54.png
Darius III, A, B, D, A+, E, A, 55.png
Kiyohime, E, C, E, E, E, EX, 56.png
Kiyohime, E, C, E, E, E, EX, 56.1.png
Eric Bloodaxe, B+, D, C, B+, D, C, 57.png
Tamamo Cat, B+, A, B, E, A, D, 58.png
Tamamo Cat, B+, A, B, E, A, D, 58.1.png
Jeanne d'Arc, B, A, C, B, A, A++, 59.png
Jeanne d'Arc, B, A, C, B, A, A++, 59.1.png
Orion, D, B, A+, C, A, A+, 60.png
Elisabeth Báthory (Halloween), D, D, C, D, B, D, 61.png
Tamamo-no-Mae, E, B, D, E, A, B, 62.png
David, C, B, A, D, C, B, 63.png
Hektor, B, A, B, B, B, B, 64.png
Francis Drake, D, B, EX, C, E, A+, 65.png
Anne Bonny & Mary Read, C, A, B, C, E, C, 66.png
Medea (Lily), E, D, A, E, A, C, 67.png
Okita Souji, C, A+, D, E, E, C, 68.png
Oda Nobunaga, C, C, B, B, B, ?, 69.png
Scáthach, B, A, D, A, C, A+, 70.png
Scáthach, B, A, D, A, C, A+, 70.1.png
Diarmuid Ua Duibhne, B, A+, E, C, D, B, 71.png
Fergus mac Róich, A, B, C, A, E, A+, 72.png
Altria Pendragon (Santa Alter), A, D, A, C, B, A++, 73.png
Nursery Rhyme, E, C, B, E, A, C++, 74.png
Jack the Ripper, C, A, E, C, C, C, 75.png
Mordred, B+, B, D, A, B, A, 76.png
Mordred, B+, B, D, A, B, A, 76.1.png
Mordred, B+, B, D, A, B, A, 76.2.png
Nikola Tesla, D, C, D, C, B, EX, 77.png
Altria Pendragon (Alter), A, C, D, A+, A+, A++, 78.png
Paracelsus von Hohenheim, D, C, B, E, A, A+, 79.png
Charles Babbage, B++, D++, E, B++, A, A+, 80.png
Henry Jekyll & Hyde, C+, A+, C, E, E, C, 81.png
Frankenstein, C, D, B, B, D, C, 82.png
Solomon (Lore Grand Caster), E, B, A++, E, A++, A++, 83.png
